"state" "time" "cost" "Item"
"WorkingState 1" 0 0 1
"FailureState 1" 0.352201622663744 0 1
"WorkingState 1" 0.352810338720912 70.7082591046266 1
"WorkingState 2" 2.169462451109 0 1
"WorkingState 1" 0 0 2
"WorkingState 2" 1.81312585022641 0 2
"FailureState 2" 2.54815799723512 0 2
"WorkingState 1" 0 0 3
"WorkingState 2" 0.720124283748509 0 3
"FailureState 2" 0.741916562817203 0 3
"WorkingState 2" 0.745171586220986 141.269899108887 3
"WorkingState 3" 1.74535890818191 0 3
"FailureState 3" 1.92833921385442 0 3
"WorkingState 3" 1.9328448927439 270.009848602354 3
"WorkingState 4" 2.54682155931196 0 3
"WorkingState 1" 0 0 4
"WorkingState 2" 1.34124815977555 0 4
"WorkingState 3" 1.49838579611501 0 4
"WorkingState 4" 1.85808094827686 0 4
"FailureState 4" 2.0114086554928 0 4
"WorkingState 1" 0 0 5
"FailureState 1" 3.06993902462219 0 5
"WorkingState 1" 0 0 6
"WorkingState 2" 0.393625493975446 0 6
"WorkingState 3" 1.11098241940533 0 6
"FailureState 3" 1.45112488605393 0 6
"WorkingState 3" 1.45539416508444 291.847789595681 6
"WorkingState 4" 1.61328880730512 0 6
"FailureState 4" 1.66309429476283 0 6
"WorkingState 4" 1.66955192546747 395.887451295983 6
"FailureState 4" 1.97567098346826 0 6
"WorkingState 4" 1.9802287713208 396.392152941193 6
"FailureState 4" 2.17475092457582 0 6
"WorkingState 1" 0 0 7
"FailureState 1" 1.01414124522314 0 7
"WorkingState 1" 1.02117523502897 103.725565758371 7
"WorkingState 2" 2.91210305250916 0 7
"WorkingState 1" 0 0 8
"WorkingState 2" 0.966820697296393 0 8
"FailureState 2" 1.88832863080564 0 8
"WorkingState 2" 1.89484688665047 160.099083590976 8
"WorkingState 3" 3.16022209585139 0 8
"WorkingState 1" 0 0 9
"WorkingState 2" 1.70273206026633 0 9
"WorkingState 3" 2.1769636867368 0 9
"WorkingState 1" 0 0 10
"WorkingState 2" 0.0352832418748712 0 10
"WorkingState 3" 0.391764916036626 0 10
"WorkingState 4" 1.17249829089192 0 10
"FailureState 4" 1.62792665042423 0 10
"WorkingState 4" 1.62972797927475 420.32132218706 10
"FailureState 4" 1.74352293722881 0 10
"WorkingState 4" 1.74633398063033 424.275232301202 10
"FailureState 4" 2.7679451124382 0 10
"WorkingState 1" 0 0 11
"WorkingState 2" 3.95691717287167 0 11
"WorkingState 1" 0 0 12
"WorkingState 2" 0.48941511336458 0 12
"FailureState 2" 1.48179625311442 0 12
"WorkingState 2" 1.48388248895902 153.584486032259 12
"FailureState 2" 2.36124375758497 0 12
"WorkingState 1" 0 0 13
"WorkingState 2" 0.280743754655627 0 13
"WorkingState 3" 0.314292861589927 0 13
"FailureState 3" 0.665221533151515 0 13
"WorkingState 1" 0.671044179245923 605.276289782046 13
"WorkingState 2" 1.67327612171262 0 13
"WorkingState 3" 1.7219991167858 0 13
"WorkingState 4" 2.33161740939053 0 13
"WorkingState 1" 0 0 14
"FailureState 1" 0.323386073252089 0 14
"WorkingState 1" 0.326035518916681 83.8694694791075 14
"WorkingState 2" 2.54891342520565 0 14
"WorkingState 1" 0 0 15
"WorkingState 2" 1.78644829719546 0 15
"WorkingState 3" 2.12709636285886 0 15
"WorkingState 1" 0 0 16
"WorkingState 2" 1.05028576938339 0 16
"WorkingState 3" 1.14552651547017 0 16
"FailureState 3" 1.16049738919334 0 16
"WorkingState 3" 1.16753371661057 304.230214462736 16
"WorkingState 4" 1.70255939372278 0 16
"FailureState 4" 2.00585201604282 0 16
"WorkingState 1" 0 0 17
"WorkingState 2" 0.847545091760032 0 17
"FailureState 2" 1.42489955580442 0 17
"WorkingState 2" 1.42894695118432 153.976242306584 17
"FailureState 2" 2.1591941942592 0 17
"WorkingState 1" 0 0 18
"FailureState 1" 4.99200056076348 0 18
"WorkingState 1" 0 0 19
"WorkingState 2" 3.88703296835569 0 19
"WorkingState 1" 0 0 20
"WorkingState 2" 1.22986379672556 0 20
"FailureState 2" 1.38474674410608 0 20
"WorkingState 2" 1.39132122466576 155.143647133453 20
"WorkingState 3" 1.72936760347949 0 20
"FailureState 3" 2.9251916735505 0 20
"WorkingState 1" 0 0 21
"WorkingState 2" 2.94671790359282 0 21
"WorkingState 1" 0 0 22
"WorkingState 2" 2.23455142018881 0 22
"WorkingState 1" 0 0 23
"WorkingState 2" 0.436090653469558 0 23
"FailureState 2" 0.544143842167201 0 23
"WorkingState 2" 0.545513508508489 149.9951031884 23
"WorkingState 3" 1.09100168116606 0 23
"WorkingState 4" 1.32399964184492 0 23
"FailureState 4" 1.35581370925254 0 23
"WorkingState 4" 1.35690434365909 413.859058473766 23
